序号,测试用例,模型回答,结合prompt后,模型回答.1,正确选项
81,"罗马帝国时期,尼禄皇帝被指控在大火烧毁罗马半城之后,秘密建立了一个巨大的宫殿,而实际上是为了自己的娱乐而放纵放火,请你判断这个案件的真实性:A.真;B.假",,"```
Question: 罗马帝国时期,尼禄皇帝被指控在大火烧毁罗马半城之后,秘密建立了一个巨大的宫殿,而实际上是为了自己的娱乐而放纵放火,请你判断这个案件的真实性:A.真;B.假
Role: 历史学家
Profile: 你是一名专注于提供历史领域信息的专家，旨在根据历史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills: 
1. 深入了解罗马帝国时期的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 尼禄皇帝、罗马大火、密谋、巨大的宫殿、娱乐、放纵。
2. 历史文献、中世纪史料、古罗马历史学家、考古证据。
3. 时代背景、历史事实核查。
```","您提供的案例是关于尼禄皇帝和罗马大火的历史事件。为了判断这个案件的真实性，我们需要参考可靠的历史文献和考古证据。以下是关于这个题目的Top-3提示词，帮助您更好地理解和回答这个问题：

1. **尼禄皇帝、罗马大火、密谋、巨大的宫殿、娱乐、放纵**：
   - 这组关键词强调了案件的核心要素，包括尼禄皇帝的角色、大火事件和他被指控的行为。如果调查这些要素，可以更好地理解这个指控。

2. **历史文献、中世纪史料、古罗马历史学家、考古证据**：
   - 通过参考古罗马历史学家如塔西佗和苏埃托尼乌斯的记录，以及现代考古证据，可以得到更可靠的结论。

3. **时代背景、历史事实核查**：
   - 理解当时的社会、政治背景和进行历史事实核查，有助于更全面地评估尼禄皇帝被指控的真实性。

### 进一步分析

- 根据古罗马历史学家塔西佗和苏埃托尼乌斯的记录，罗马大火发生在公元64年，尼禄皇帝确实建造了一个名为“金宫”(Domus Aurea)的新宫殿。然而，是否是尼禄下令放火并以此来为自己的娱乐建立宫殿，历史学界存在争议，有人认为这些指控可能是政治敌人对他的诋毁。

### 结论
基于历史文献和现有的考古证据，这个指控的真实性存在争议，并不能完全确定其真伪。因此，答案更倾向于**B.假**，因为有可能尼禄皇帝被后来的历史学家和对手夸大了他的罪行。

请您根据上述提示词和分析，来完善自己的判断。",
82,"埃及法老图坦卡蒙死亡的真相被新发现的文献所揭示,声称其实是因为他的顾问和近亲之间的权力斗争,被毒杀以夺取权位,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 埃及法老图坦卡蒙死亡的真相被新发现的文献所揭示，声称其实是因为他的顾问和近亲之间的权力斗争，被毒杀以夺取权位，请你判断这个案件的真实性:A.真;B.假
Role: 你是一名历史学专家，专注于古埃及历史和考古研究，能够提供可靠的历史信息。
Profile: 你是一名专注于提供古埃及历史和法老研究领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解古埃及历史和法老相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和古埃及历史背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名古埃及历史信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 考古证据,历史文献,法医学分析
2. 古埃及权力结构,法老的死因,近现代研究
3. 考证原文献真伪
```","根据你的指引以及我在古埃及历史和法老研究领域的专业知识，现对“埃及法老图坦卡蒙死亡真相”的案件真实性做出判读。我们重点考虑考古证据、历史文献和法医学分析等核心因素。

首先需要明确的是，图坦卡蒙（Tutankhamun，也称图坦卡门）是古埃及第十八王朝的一位年轻法老，他的死因一直是历史学家和考古学家研究的热门话题之一。关于他的死亡，存在多种理论，包括疾病、创伤和谋杀等。然而，目前尚未有确凿证据表明他是因为宫廷内的权力斗争而被毒杀。

根据现有的考古和法医学证据：
1. **考古证据和历史文献**：图坦卡蒙的墓葬被发现于1922年，墓中并未发现明确的谋杀工具或毒药相关证据。现存的古埃及文献和碑铭中，也没有直接记载图坦卡蒙是被谋杀的。
2. **法医学分析**：通过对图坦卡蒙木乃伊的现代医学分析，包括X射线和CT扫描，学者们发现他可能因腿部严重骨折导致感染而死亡。此外，他还可能患有疟疾等多重疾病，这些健康问题皆可能是致命的。
3. **古埃及权力结构和近现代研究**：古埃及权力斗争的确复杂，图坦卡蒙去世后随即爆发了阿依（Ay）和霍伦赫布（Horemheb）之间的权力过渡。这种权力更迭在古埃及历史上并不罕见，但现有证据不足以证明图坦卡蒙是因顾问和近亲的权力斗争而被毒杀。

综上所述，虽然存在多种理论，但当前尚无确凿的证据支持图坦卡蒙被毒杀的说法。因此，对于你提供的案件的真实性判断，应选择：

B. 假",
83,"拜占庭帝国时期,查士丁尼大帝在位期间,据传曾秘密指派刺客暗杀多名政敌和异见人士,但这些行为都被官方档案所掩盖,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 拜占庭帝国时期,查士丁尼大帝在位期间,据传曾秘密指派刺客暗杀多名政敌和异见人士,但这些行为都被官方档案所掩盖,请你判断这个案件的真实性:A.真;B.假
Role: 历史学家专注于拜占庭帝国时期的研究
Profile: 你是一名专注于提供拜占庭帝国历史信息的专家，旨在根据历史事件生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解拜占庭帝国时期的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史文献的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和拜占庭帝国历史背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计拜占庭帝国历史初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名拜占庭帝国历史信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查士丁尼大帝,历史文献,政敌,异见人士,刺客
2. 拜占庭帝国,官方档案,秘密行动
3. 事实谬误
```","```markdown
Question: 拜占庭帝国时期,查士丁尼大帝在位期间,据传曾秘密指派刺客暗杀多名政敌和异见人士,但这些行为都被官方档案所掩盖,请你判断这个案件的真实性:A.真;B.假
Role: 历史学家专注于拜占庭帝国时期的研究
Profile: 你是一名专注于提供拜占庭帝国历史信息的专家，旨在根据历史事件生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解拜占庭帝国时期的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史文献的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和拜占庭帝国历史背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计拜占庭帝国历史初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名拜占庭帝国历史信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查士丁尼大帝,历史文献,政敌,异见人士,刺客
2. 拜占庭帝国,官方档案,秘密行动
3. 事实谬误
```",
84,"2024年3月15日,一部关于亚历山大大帝未公开的征服日记的纪录片在伦敦首映,引起了历史学家和考古学家的巨大争议,因为其中的一些观点与传统历史记载相悖,被历史学会质疑,请你判断这个案件的真实性:A.真;B.假",,"```
Question: 2024年3月15日,一部关于亚历山大大帝未公开的征服日记的纪录片在伦敦首映,引起了历史学家和考古学家的巨大争议,因为其中的一些观点与传统历史记载相悖,被历史学会质疑,请你判断这个案件的真实性:A.真;B.假
Role: 历史文献验证专家
Profile: 你是一名专注于提供历史事件和文献真实性鉴定信息的专家，旨在根据历史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解历史文献鉴定和考古学的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史记载的常见争议问题，确保提示的可靠性。
Rules:
1. 理解用户需求和历史文献鉴定的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计历史文献鉴定初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名历史文献鉴定信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.查阅亚历山大大帝征服日记的真实性。
2.核对2024年3月15日在伦敦首映的纪录片是否存在。
3.确认历史学会是否发布针对该纪录片的质疑声明。
```","根据你的需求和背景信息，我会提供三个提示，帮助你判断案件的真实性：

1. **查阅亚历山大大帝征服日记的真实性**:
   - 探索是否存在关于亚历山大大帝未公开的征服日记的历史文献或考古发现。
   - 查找相关学术论文或文献，分析是否有新的考古发现和记录。
 
2. **核对2024年3月15日在伦敦首映的纪录片是否存在**:
   - 检查主流媒体和电影数据库，如IMDb或其他认证的电影节或纪录片发布平台，确认该纪录片在2024年3月15日是否在伦敦首映。

3. **确认历史学会是否发布针对该纪录片的质疑声明**:
   - 调查历史学会或相关机构是否在纪录片首映后发布了质疑声明。
   - 查阅历史学会的官方网站或官方公报，寻找声明的可信度和具体内容。

通过以上提示信息，你可以逐步验证案件的真实性。在正式确认之前，需要确保核实的信息来源可靠并且经过验证。",
85,"2023年5月21日,一封据称由拿破仑亲笔写给约瑟芬的情书在巴黎一家拍卖会上被拍卖,后被发现是当代艺术家的伪作,引发了法国文化部的关注,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年5月21日，一封据称由拿破仑亲笔写给约瑟芬的情书在巴黎一家拍卖会上被拍卖，后被发现是当代艺术家的伪作，引发了法国文化部的关注，请你判断这个案件的真实性：A.真；B.假
Role: 历史事件调查分析师
Profile: 你是一名专注于历史事件和文物鉴定领域的专家，旨在根据历史事件和文物真伪问题提供高质量提示词，提升判断的准确性，避免误导性信息。
Skills:
1. 深入了解历史事件和文物鉴定的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史文物鉴定领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和背景信息。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 拍卖日期、地点和物品： 2023年5月21日，巴黎，拿破仑情书。
2. 文物鉴定：法国文化部调查、当代艺术家的伪作鉴定。
3. 拿破仑与约瑟芬的历史背景及其通信记录。
```","```markdown
Question: 2023年5月21日，一封据称由拿破仑亲笔写给约瑟芬的情书在巴黎一家拍卖会上被拍卖，后被发现是当代艺术家的伪作，引发了法国文化部的关注，请你判断这个案件的真实性：A.真；B.假
Role: 历史事件调查分析师
Profile: 你是一名专注于历史事件和文物鉴定领域的专家，旨在根据历史事件和文物真伪问题提供高质量提示词，提升判断的准确性，避免误导性信息。
Skills:
1. 深入了解历史事件和文物鉴定的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史文物鉴定领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和背景信息。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 拍卖日期、地点和物品： 2023年5月21日，巴黎，拿破仑情书。
2. 文物鉴定：法国文化部调查、当代艺术家的伪作鉴定。
3. 拿破仑与约瑟芬的历史背景及其通信记录。
```",
86,"2022年11月11日,一组声称是清朝末代皇帝溥仪的私人日记在香港的一个私人展览中被展出,引起了大量历史爱好者的关注和学术界的质疑,被怀疑是现代伪造,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2022年11月11日,一组声称是清朝末代皇帝溥仪的私人日记在香港的一个私人展览中被展出,引起了大量历史爱好者的关注和学术界的质疑,被怀疑是现代伪造,请你判断这个案件的真实性:A.真;B.假。

Role: 历史事件及文献鉴定专家

Profile: 你是一名专注于历史事件及文献认证的专家，旨在根据历史文献鉴定领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史文献的鉴定方法和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史事件和文献鉴定领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 溥仪日记真实性检查：文字内容风格、纸张年代、墨水成分、书写方式与清朝末期习惯。
2. 历史学术界的鉴定结果。
3. 伪造文献常见特征：历史细节遗漏、现代用语、材料与年代不符。
```","```markdown
Question: 2022年11月11日,一组声称是清朝末代皇帝溥仪的私人日记在香港的一个私人展览中被展出,引起了大量历史爱好者的关注和学术界的质疑,被怀疑是现代伪造,请你判断这个案件的真实性:A.真;B.假。

Role: 历史事件及文献鉴定专家

Profile: 你是一名专注于历史事件及文献认证的专家，旨在根据历史文献鉴定领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史文献的鉴定方法和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史事件和文献鉴定领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 溥仪日记真实性检查：文字内容风格、纸张年代、墨水成分、书写方式与清朝末期习惯。
2. 历史学术界的鉴定结果。
3. 伪造文献常见特征：历史细节遗漏、现代用语、材料与年代不符。
```",
87,"2023年6月14日,北京华影星光影视公司的导演张华因在电影《未来城》中未经授权使用知名歌曲,被中国音乐著作权协会调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年6月14日,北京华影星光影视公司的导演张华因在电影《未来城》中未经授权使用知名歌曲,被中国音乐著作权协会调查,请你判断这个案件的真实性:A.真;B.假
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查找2023年6月14日相关新闻报道
2. 查询中国音乐著作权协会的公告或声明
3. 核实《未来城》导演张华的相关信息
```","根据你的需求，下面是对案例真实性判断的Top-3提示词：

1. 查找2023年6月14日相关新闻报道：通过新闻网站或权威媒体平台查找相关日期的新闻报道，核实案件发生的具体情况。
2. 查询中国音乐著作权协会的公告或声明：访问中国音乐著作权协会的官方网站或其他官方平台，查找该协会是否发布过与此案件相关的公告或声明。
3. 核实《未来城》导演张华的相关信息：通过电影行业资料库或影视公司官方网站，核实《未来城》的导演是否为张华及其相关背景信息。

通过上面的步骤，可以有效核实该案件的真实性。",
88,"2022年7月22日,上海明星经纪公司的艺人王蕾因在社交媒体上发布不实广告,被上海市消费者权益保护委员会罚款,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2022年7月22日,上海明星经纪公司的艺人王蕾因在社交媒体上发布不实广告,被上海市消费者权益保护委员会罚款,请你判断这个案件的真实性:A.真;B.假
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供新闻真实性验证领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解新闻真实性验证领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计新闻真实性验证领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.查找2022年7月22日相关新闻报道
2.搜索王蕾发布不实广告的相关新闻
3.查看上海市消费者权益保护委员会的公告
```","```markdown
Question: 2022年7月22日,上海明星经纪公司的艺人王蕾因在社交媒体上发布不实广告,被上海市消费者权益保护委员会罚款,请你判断这个案件的真实性:A.真;B.假
Role: 你是一名专注于提供新闻真实性验证领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Profile: 你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查找2022年7月22日相关新闻报道
2. 搜索王蕾发布不实广告的相关新闻
3. 查看上海市消费者权益保护委员会的公告
```",
89,"2024年1月5日,广州流行音乐制作人李明因涉嫌抄袭国际知名艺术家的音乐作品,被国际音乐版权保护组织起诉,请你判断这个案件的真实性:A.真;B.假",,"```markdown
#### Question: 
2024年1月5日,广州流行音乐制作人李明因涉嫌抄袭国际知名艺术家的音乐作品,被国际音乐版权保护组织起诉,请你判断这个案件的真实性:A.真;B.假

#### Role: 
音乐版权保护领域的咨询专家

#### Profile:
你是一名专注于提供音乐版权保护领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

#### Skills:
1. 深入了解音乐版权保护领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉版权领域的常见问题，确保提示的可靠性。

#### Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

#### Examination:
检查所有生成的提示词，删除有害和错误的提示词。

#### Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

#### Init:
你是一名音乐版权保护领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

### Top-3提示词:
1. 确认音乐制作人李明是否在2024年1月5日有相关案件新闻报道。
2. 查询国际知名艺术家的音乐作品最近一次被起诉的事件和时间。
3. 核实广州流行音乐制作人李明是否有过抄袭争议记录。
```","### Top-3提示词:

1. **新闻报道验证**: 通过可靠的新闻来源（如国际或国内主流媒体网站）确认音乐制作人李明是否在2024年1月5日被国际音乐版权保护组织起诉的相关报道。
2. **版权诉讼记录**: 查询国际音乐版权保护组织近期的诉讼记录，特别是针对中国音乐制作人的案件，核实是否有涉及李明的案件。
3. **历史记录核实**: 核查广州流行音乐制作人李明是否有过抄袭争议或被起诉的历史记录，可以通过音乐版权数据库或法律判例数据库进行查证。",
90,"2023年8月8日,成都熊猫文化传媒公司的演员赵薇因在电视剧《古道西风》中的表演被指控剽窃他人作品,被中国电视艺术家协会调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年8月8日,成都熊猫文化传媒公司的演员赵薇因在电视剧《古道西风》中的表演被指控剽窃他人作品,被中国电视艺术家协会调查,请你判断这个案件的真实性:A.真;B.假

Role: 法律和媒体相关问题领域的信息专家

Profile: 你是一名专注于提供法律和媒体事件信息的专家，旨在根据媒体事件生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解法律和媒体事件领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和媒体领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名法律和媒体事件领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.成都熊猫文化传媒公司，赵薇，剽窃指控，中国电视艺术家协会，调查。
2.核实新闻来源，查阅相关报道，再次确认细节。
3.确认是否有官方通报。
```","```markdown
Question: 2023年8月8日,成都熊猫文化传媒公司的演员赵薇因在电视剧《古道西风》中的表演被指控剽窃他人作品,被中国电视艺术家协会调查,请你判断这个案件的真实性:A.真;B.假

Role: 法律和媒体相关问题领域的信息专家

Profile: 你是一名专注于提供法律和媒体事件信息的专家，旨在根据媒体事件生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解法律和媒体事件领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和媒体领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名法律和媒体事件领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 成都熊猫文化传媒公司，赵薇，剽窃指控，中国电视艺术家协会，调查。
2. 核实新闻来源，查阅相关报道，再次确认细节。
3. 确认是否有官方通报。
```",
91,"2022年9月15日,南京青青草原音乐节组织者陈涛因在活动中未采取足够安全措施,导致多名观众受伤,被南京市公安局调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2022年9月15日,南京青青草原音乐节组织者陈涛因在活动中未采取足够安全措施,导致多名观众受伤,被南京市公安局调查,请你判断这个案件的真实性:A.真;B.假
Role: 针对案例的真实性提供专业判断的分析师
Profile: 你是一名专注于提供事件真实性的专家，旨在根据案件细节生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解案件中的事件和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉案件调查领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和案件背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计案件领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该案件信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查看南京相关新闻报道,寻找音乐节安全事故的相关报道
2. 调查南京市公安局的通告和公告，确认是否有该事件的记录
3. 查询2022年9月中国大陆音乐节的安全事故记录，核实是否有南京青青草原音乐节的记录
```","根据你提供的案件描述，这里有一些提示词，可以用于判断该案件的真实性：

### Top-3 提示词:

1. **查看南京相关新闻报道**
   - **提示**: 在主要新闻网站和平台（如新华网、人民网或南京地方新闻网站）查找2022年9月15日的相关新闻，看是否有关于南京青青草原音乐节发生安全事故的报道。

2. **调查南京市公安局的通告和公告**
   - **提示**: 访问南京市公安局的官方网站或其官方社交媒体账号，查找在2022年9月15日前后发布的有关音乐节安全事故的通告或公告。

3. **查询2022年9月中国大陆音乐节的安全事故记录**
   - **提示**: 在搜索引擎上或使用专业数据库查询2022年9月中国大陆范围内发生的音乐节安全事故，重点查找是否提到南京青青草原音乐节。

这些提示词将帮助你更可靠地验证案件的真实性。",
