序号,测试用例,模型回答,结合prompt后,模型回答.1,精简选项,正确答案
82,哪位科学家发明了微波炉：A《牛顿》; B《达尔文》; C《爱因斯坦》,,"```
Question: 哪位科学家发明了微波炉：A《牛顿》; B《达尔文》; C《爱因斯坦》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 微波炉：1940年代发明，雷达工程师力作。
2. 雷达：与微波炉发明紧密关联。
3. 物理学常识：注意科学家研究领域与发明物。
```","Question: 哪位科学家发明了微波炉：A《牛顿》; B《达尔文》; C《爱因斯坦》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 微波炉：1940年代发明，雷达工程师力作。
2. 雷达：与微波炉发明紧密关联。
3. 物理学常识：注意科学家研究领域与发明物。",,
83,在哪个国家可以找到自由塔：A《英国》; B《德国》; C《意大利》,,"```markdown
Question: 在哪个国家可以找到自由塔：A《英国》; B《德国》; C《意大利》

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 提示词：自由塔是位于曼哈顿下城的一座摩天大楼，常与纽约联系在一起。
2. 提示词：注意字面翻译和官方名称的准确性。
3. 提示词：地标建筑与特定城市或地区的关联。
```","```markdown
Question: 在哪个国家可以找到自由塔：A《英国》; B《德国》; C《意大利》

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 提示词：自由塔（或者：“One World Trade Center”，世界贸易中心一号楼）位于美国纽约市曼哈顿下城。
2. 提示词：自由塔是世界贸易中心重建计划的一部分，由大卫·柴尔兹设计，高度达到541米。
3. 提示词：自由塔所在的国家是美国，这一点与任何错误选项（如英国、德国、意大利）有所区别。
```

回答：在美国（虽然选项中没有提供美国，但题目的答案为美国）。
```",,
84,以下哪种动物是哺乳动物：A《鳄鱼》; B《蜥蜴》; C《青蛙》,,"```
Question: 以下哪种动物是哺乳动物：A《鳄鱼》; B《蜥蜴》; C《青蛙》
Role: 帮助识别哪些动物属于哺乳动物
Profile: 你是一名专注于动物分类的专家，旨在根据动物分类生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解动物分类学的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉动物分类的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和动物分类的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计动物分类初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名动物分类信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 哺乳动物的特征包括哺乳、毛发、体温调节等。
2. 鳄鱼、蜥蜴和青蛙均为爬行动物和两栖动物，不是哺乳动物。
3. 请识别常见哺乳动物的特征。
```","Top-3提示词:

1. 哺乳动物的特征包括：哺乳后代、拥有毛发、温血动物（恒温）、大脑发达等。
2. 鳄鱼和蜥蜴属于爬行动物，青蛙属于两栖动物，这三种动物都不属于哺乳动物。
3. 请参考其他哺乳动物的特征，如狗、猫、老虎、鲸鱼等进行对比识别。",,
85,哪部电影是由罗伯特·泽米吉斯执导的：A《阿凡达》; B《泰坦尼克号》; C《星球大战》,,"```markdown
### Question:
哪部电影是由罗伯特·泽米吉斯执导的：A《阿凡达》; B《泰坦尼克号》; C《星球大战》

### Role:
根据电影导演领域提供信息的专家。

### Profile:
你是一名专注于电影导演领域信息的专家，旨在根据电影领域生成高质量提示词，提升回答的准确性，避免误导性信息。

### Skills:
1. 深入了解电影导演领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。

### Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

### Examination:
检查所有生成的提示词，删除有害和错误的提示词。

### Workflows:
1. 分析用户需求和背景信息。
2. 设计电影导演领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

### Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

### Top-3提示词:
1. 罗伯特·泽米吉斯的代表作包括 ***《阿甘正传》*** 和 ***《回到未来》***。
2. 确认其他选项的导演：詹姆斯·卡梅隆执导了 ***《阿凡达》*** 和 ***《泰坦尼克号》***。
3. 确认其他选项的导演：乔治·卢卡斯执导了 ***《星球大战》***。
```","### Top-3提示词
1. 罗伯特·泽米吉斯的代表作包括 ***《阿甘正传》*** 和 ***《回到未来》***。
2. 詹姆斯·卡梅隆执导了 ***《阿凡达》*** 和 ***《泰坦尼克号》***。
3. 乔治·卢卡斯执导了 ***《星球大战》***。

结合这些提示信息，正确答案是：
- 这三部电影中没有一部是由罗伯特·泽米吉斯执导的。",,
86,在哪个城市可以找到自由塔：A《伦敦》; B《巴黎》; C《东京》,,"```markdown
**Question:** 在哪个城市可以找到自由塔：A《伦敦》; B《巴黎》; C《东京》

**Role:** 根据问题识别和解释城市地标

**Profile:** 你是一名专注于提供建筑和城市地标领域信息的专家，旨在根据城市地标领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解建筑和城市地标的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. **提示词1**: 城市地标
2. **提示词2**: 世界知名建筑物
3. **提示词3**: 美国纽约
```","**Question:** 在哪个城市可以找到自由塔：A《伦敦》; B《巴黎》; C《东京》

**Role:** 根据问题识别和解释城市地标

**Profile:** 你是一名专注于提供建筑和城市地标领域信息的专家，旨在根据城市地标领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解建筑和城市地标的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. **提示词1**: ""美国纽约""
   - 解释: 自由塔（One World Trade Center）是位于美国纽约市的地标建筑，原址是世贸中心。

2. **提示词2**: ""世贸中心""
   - 解释: 自由塔是重建后的世贸中心的一部分，是纽约市的重要象征之一。

3. **提示词3**: ""新地标""
   - 解释: 自由塔作为其他国家和城市中类似名称的建筑（如巴黎铁塔、伦敦塔桥等），容易产生混淆，需明确其为纽约的新地标。",,
87,哪种元素是惰性气体：A《氢》; B《铁》; C《铜》,,"```markdown
Question: 哪种元素是惰性气体：A《氢》; B《铁》; C《铜》

Role: 你是一名化学领域的知识专家，旨在根据化学元素相关知识生成高质量提示词，提升回答的准确性，避免误导性信息。

Profile: 你是一名专注于化学领域的专家，旨在根据化学领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解化学元素的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉化学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和化学领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计化学问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名化学领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 化学元素 - 惰性气体通常是元素周期表中的一组元素。
2. 希土气体 - 识别氦、氖、氩等气体。
3. 元素周期 - 确认惰性气体位置。
```","感谢您的描述。以下是关于哪种元素是惰性气体的问题，根据化学领域的信息生成的高质量提示词：

### 提示词
1. **化学元素**：惰性气体（也称为稀有气体或惰性气体）位于元素周期表的最右边一列。
2. **稀有气体**：这些气体包括氦（He）、氖（Ne）、氩（Ar）、氪（Kr）、氙（Xe）和氡（Rn）。
3. **元素周期位置**：查看元素周期表中18族的元素，这一族元素都属于惰性气体。

通过这些提示词，可以明确惰性气体的概念和具体包括哪些元素，由此判断题目给出的选项A《氢》; B《铁》; C《铜》中的哪个是惰性气体。",,
88,哪个国家是世界上最大的铜矿出口国：A《巴西》; B《印度》; C《德国》,,"```
Question: 哪个国家是世界上最大的铜矿出口国：A《巴西》; B《印度》; C《德国》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 世界最大的铜矿出口国, 南美洲, 矿产资源丰富
2. 矿业, 全球市场, 地质优势
3. 铜, 出口, 经济影响
```","为了回答“哪个国家是世界上最大的铜矿出口国”，请参考以下提示词：

1. 世界最大的铜矿出口国, 南美洲, 矿产资源丰富
2. 矿业, 全球市场, 地质优势
3. 铜, 出口, 经济影响

根据这些提示词，我们可以找出最相关的国家。在当前全球市场上，智利是世界上最大的铜矿出口国，而智利也满足南美洲铜矿资源丰富这一特点。因此，根据问题提示和背景信息：

答案应是D《智利》。问题中的选项并未包括正确答案，建议用户重新检查或补充正确选项。",,
89,以下哪种植物是荒漠植物：A《竹子》; B《玫瑰》; C《向日葵》,,"```markdown
Question: 以下哪种植物是荒漠植物：A《竹子》; B《玫瑰》; C《向日葵》

Role: 植物学领域专家

Profile: 你是一名专注于提供植物学知识的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解植物学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉植物学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和植物学领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计植物学领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名植物学领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 植物与环境适应性：荒漠植物。
2. 需给出正确环境适应性提示词。
3. 生长环境差别。
```",答案: 这些选项中，只有《竹子》、《玫瑰》和《向日葵》不是荒漠植物。荒漠植物通常指的是那些能够在干旱和极端环境下生长的植物，如仙人掌、苏铁等。因此，这里的正确答案是：没有一种植物是荒漠植物。,,
90,哪个科学家提出了光电效应理论：A《牛顿》; B《达尔文》; C《门捷列夫》,,"```markdown
Question: 哪个科学家提出了光电效应理论：A《牛顿》; B《达尔文》; C《门捷列夫》
Role: 专注于科学史和理论的专家，为回答光电效应相关问题提供提示词。
Profile: 你是一名专注于物理学和科学史的专家，旨在根据光电效应理论生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解光电效应理论的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学理论，确保提示的可靠性。
Rules:
1. 理解光电效应的背景和相关的科学家。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析问题背景：光电效应是涉及哪位科学家的理论提出。
2. 设计基础提示词结构：明确名字和贡献。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-3提示词。
Init:
你是一名光电效应理论信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提出光电效应理论的科学家在1905年获得诺贝尔物理学奖。
2. 该科学家对相对论也有重大贡献。
3. 问题涉及科学家可能包括诺贝尔奖得主和多重发现者。
```","Top-3提示词:
1. 提出光电效应理论的科学家在1905年以光电效应研究获得诺贝尔物理学奖。
2. 该科学家提出的相对论深远地影响了现代物理学。
3. 问题涉及的科学家是爱因斯坦，不是牛顿、达尔文或门捷列夫。",,
91,哪部小说是由马克·吐温创作的：A《百年孤独》; B《悲惨世界》; C《罪与罚》,,"```markdown
Question: 哪部小说是由马克·吐温创作的：A《百年孤独》; B《悲惨世界》; C《罪与罚》

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 马克·吐温
2. 著名小说
3. 文学创作
```","```markdown
Question: 哪部小说是由马克·吐温创作的：A《百年孤独》; B《悲惨世界》; C《罪与罚》

Role: 文学领域信息专家

Profile: 你是一名专注于提供文学领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解文学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉文学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和文学领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计文学领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名文学领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 马克·吐温
2. 著名小说
3. 文学创作

回答: 马克·吐温创作的小说不在给出的选项中。他创作的著名小说包括《汤姆·索亚历险记》和《哈克贝利·费恩历险记》。
```",,
92,在哪个国家可以看到赫尔辛基大教堂：A《印度》; B《中国》; C《巴西》,,"```markdown
Question: 在哪个国家可以看到赫尔辛基大教堂：A《印度》; B《中国》; C《巴西》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.赫尔辛基, 教堂, 国家
2.北欧, 宗教建筑, 著名地标
3.欧洲
```","```markdown
Question: 在哪个国家可以看到赫尔辛基大教堂：A《印度》; B《中国》; C《巴西》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.赫尔辛基, 教堂, 国家
2.北欧, 宗教建筑, 著名地标
3.芬兰, 首都, 地标
```",,
93,哪部电影是由约翰·休斯执导的：A《星球大战》; B《哈利·波特》; C《教父》,,"```
Question: 哪部电影是由约翰·休斯执导的：A《星球大战》; B《哈利·波特》; C《教父》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于电影导演及其作品信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解约翰·休斯电影作品和其他导演的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名电影导演及其作品信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 约翰·休斯，电影导演，著名作品包括《十六支蜡烛》和《早餐俱乐部》。提示词：著名作品。
2. 提示词：约翰·休斯执导电影
3. 提示词：其他电影导演
```","
看起来用户正在试图确定哪部电影是由约翰·休斯执导的。作为一名电影导演及其作品信息专家，我需要提供相关提示以帮助用户更好地回答这个问题。以下是我的进一步的步骤和Top-3提示词：

**分析用户需求和背景信息：**
用户想知道约翰·休斯是否执导了《星球大战》、《哈利·波特》或者《教父》这三部其中之一。

**设计问题领域初步提示词结构：**
1. 简要介绍约翰·休斯的代表作。
2. 确定约翰·休斯并没有执导这些特定影片，但提及他的实际作品。
3. 简单提及这些影片的实际导演，以避免误导。

**评估提示词的准确性，并在必要时优化：**
确保提示词准确，且提供有价值的信息。

**最终选择最安全和准确的Top-3提示词：**
1. **约翰·休斯的著名作品：**
   约翰·休斯是一位著名的电影导演，以执导《十六支蜡烛》、《早餐俱乐部》和《好小子》（Ferris Bueller's Day Off）等青少年题材影片闻名。

2. **约翰·休斯执导电影不会包括：**
   《星球大战》、《哈利·波特》和《教父》均不是由约翰·休斯执导的，《星球大战》是乔治·卢卡斯执导的，《哈利·波特》系列由不同导演执导，包括克里斯·哥伦布和大卫·耶茨等；《教父》则是由弗朗西斯·福特·科波拉执导的。

3. **其他电影导演：**
   乔治·卢卡斯执导《星球大战》三部曲，克里斯·哥伦布和大卫·耶茨等导演执导了《哈利·波特》系列，弗朗西斯·福特·科波拉是《教父》的导演。因此，约翰·休斯并未执导上述任何一部电影。

**提示词：**
- 约翰·休斯，著名作品包括《十六支蜡烛》和《早餐俱乐部》。
- 约翰·休斯没有执导《星球大战》、《哈利·波特》和《教父》。
- 提示词：乔治·卢卡斯、克里斯·哥伦布、大卫·耶茨、弗朗西斯·福特·科波拉。",,
94,哪种元素是稀有气体：A《钠》; B《钾》; C《钙》,,"```markdown
Question: 哪种元素是稀有气体：A《钠》; B《钾》; C《钙》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供元素化学性质信息的专家，旨在根据化学领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解元素周期表及其分类。
2. 能够提供元素分类的简明、准确提示信息。
3. 熟悉化学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和化学元素分类的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计元素分类领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名化学元素信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 与题目结合，列举稀有气体的所有例子，提示这些元素的位置。
2. 涉及化学性质分类时，准确区分金属与非金属元素以及其在周期表中的位置。
3. 通过描述稀有气体的通性，提示其惰性与常见用途,如化学稳定性和应用领域。
```","```markdown
Question: 哪种元素是稀有气体：A《钠》; B《钾》; C《钙》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供元素化学性质信息的专家，旨在根据化学领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解元素周期表及其分类。
2. 能够提供元素分类的简明、准确提示信息。
3. 熟悉化学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和化学元素分类的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计元素分类领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名化学元素信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 与题目结合，列举稀有气体的所有例子，提示这些元素的位置。
2. 涉及化学性质分类时，准确区分金属与非金属元素以及其在周期表中的位置。
3. 通过描述稀有气体的通性，提示其惰性与常见用途,如化学稳定性和应用领域。
```",,
95,哪种植物是多年生草本植物：A《竹子》; B《玫瑰》; C《郁金香》,,"```markdown
Question: 哪种植物是多年生草本植物：A《竹子》; B《玫瑰》; C《郁金香》

Role: 植物学领域专家

Profile: 你是一名专注于提供植物学信息的专家，旨在根据植物学领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解植物学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉植物分类和生命周期，确保提示的可靠性。

Rules:
1. 理解用户需求和植物学领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计植物学领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名植物学领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.多年生：耐寒、适应性强、寿命长等。
2.草本：茎不木质化、柔软的。
3.生命周期：仔细辨别年生和多年生的区别。
```","为了确定哪种植物是多年生草本植物，我们需要具体了解每种植物的特性。以下是Top-3提示词，用于指导这个问题的准确回答：

1. **多年生**：多年生植物是指那些能够在多个生长季节中持续生长和繁衍的植物，通常具有耐寒性和较长的寿命。
2. **草本**：草本植物的茎部不木质化，通常柔软，且茎叶一年后会枯萎，但根部在适宜的气候条件下可以存活并在第二年长出新的茎叶。
3. **生命周期**：仔细区分植物的生命周期，可以明确它们是年生（单季节内完成生命周期）还是多年生植物（多季节内持续生长）。

**具体分析案例中的选项：**

A. **竹子**：竹子是多年生植物，但它是木质化的，因此属于多年生木本植物而不是草本植物。

B. **玫瑰**：玫瑰也是多年生植物，但通常是木本植物（灌木），而不是草本植物。

C. **郁金香**：郁金香是一种多年生草本植物，尽管在一些气候条件下有时被视为年生植物，但通常在适宜的环境下会每年重新生长。

**总结：**

根据所述提示词和分析，郁金香（C）是多年生草本植物。",,
